"Variable","Statistic","Full_Sample","ISO14001_No","ISO14001_Yes","P_Value"
"sales","Mean",209,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",210,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",211,215.09403,594.30968,1.59488133699139e-25
"sales","Max",212,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",213,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",214,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",215,-13.55661,-9.617299,0.0357124491804931
"rd","Max",216,133.6687,135.684,0.0357124491804931
"releases","Mean",217,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",218,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",219,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",220,6.254692,5.208553,1.487922985421e-134
"insp","Mean",221,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",222,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",223,0,0,7.2738672869272e-311
"insp","Max",224,5,6,7.2738672869272e-311
"sales","Mean",225,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",226,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",227,215.09403,594.30968,1.59488133699139e-25
"sales","Max",228,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",229,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",230,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",231,-13.55661,-9.617299,0.0357124491804931
"rd","Max",232,133.6687,135.684,0.0357124491804931
"releases","Mean",233,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",234,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",235,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",236,6.254692,5.208553,1.487922985421e-134
"insp","Mean",237,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",238,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",239,0,0,7.2738672869272e-311
"insp","Max",240,5,6,7.2738672869272e-311
"sales","Mean",241,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",242,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",243,215.09403,594.30968,1.59488133699139e-25
"sales","Max",244,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",245,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",246,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",247,-13.55661,-9.617299,0.0357124491804931
"rd","Max",248,133.6687,135.684,0.0357124491804931
"releases","Mean",249,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",250,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",251,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",252,6.254692,5.208553,1.487922985421e-134
"insp","Mean",253,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",254,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",255,0,0,7.2738672869272e-311
"insp","Max",256,5,6,7.2738672869272e-311
"sales","Mean",257,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",258,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",259,215.09403,594.30968,1.59488133699139e-25
"sales","Max",260,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",261,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",262,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",263,-13.55661,-9.617299,0.0357124491804931
"rd","Max",264,133.6687,135.684,0.0357124491804931
"releases","Mean",265,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",266,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",267,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",268,6.254692,5.208553,1.487922985421e-134
"insp","Mean",269,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",270,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",271,0,0,7.2738672869272e-311
"insp","Max",272,5,6,7.2738672869272e-311
"sales","Mean",273,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",274,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",275,215.09403,594.30968,1.59488133699139e-25
"sales","Max",276,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",277,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",278,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",279,-13.55661,-9.617299,0.0357124491804931
"rd","Max",280,133.6687,135.684,0.0357124491804931
"releases","Mean",281,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",282,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",283,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",284,6.254692,5.208553,1.487922985421e-134
"insp","Mean",285,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",286,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",287,0,0,7.2738672869272e-311
"insp","Max",288,5,6,7.2738672869272e-311
"sales","Mean",289,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",290,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",291,215.09403,594.30968,1.59488133699139e-25
"sales","Max",292,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",293,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",294,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",295,-13.55661,-9.617299,0.0357124491804931
"rd","Max",296,133.6687,135.684,0.0357124491804931
"releases","Mean",297,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",298,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",299,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",300,6.254692,5.208553,1.487922985421e-134
"insp","Mean",301,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",302,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",303,0,0,7.2738672869272e-311
"insp","Max",304,5,6,7.2738672869272e-311
"sales","Mean",305,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",306,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",307,215.09403,594.30968,1.59488133699139e-25
"sales","Max",308,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",309,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",310,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",311,-13.55661,-9.617299,0.0357124491804931
"rd","Max",312,133.6687,135.684,0.0357124491804931
"releases","Mean",313,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",314,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",315,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",316,6.254692,5.208553,1.487922985421e-134
"insp","Mean",317,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",318,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",319,0,0,7.2738672869272e-311
"insp","Max",320,5,6,7.2738672869272e-311
"sales","Mean",321,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",322,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",323,215.09403,594.30968,1.59488133699139e-25
"sales","Max",324,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",325,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",326,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",327,-13.55661,-9.617299,0.0357124491804931
"rd","Max",328,133.6687,135.684,0.0357124491804931
"releases","Mean",329,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",330,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",331,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",332,6.254692,5.208553,1.487922985421e-134
"insp","Mean",333,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",334,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",335,0,0,7.2738672869272e-311
"insp","Max",336,5,6,7.2738672869272e-311
"sales","Mean",337,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",338,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",339,215.09403,594.30968,1.59488133699139e-25
"sales","Max",340,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",341,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",342,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",343,-13.55661,-9.617299,0.0357124491804931
"rd","Max",344,133.6687,135.684,0.0357124491804931
"releases","Mean",345,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",346,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",347,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",348,6.254692,5.208553,1.487922985421e-134
"insp","Mean",349,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",350,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",351,0,0,7.2738672869272e-311
"insp","Max",352,5,6,7.2738672869272e-311
"sales","Mean",353,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",354,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",355,215.09403,594.30968,1.59488133699139e-25
"sales","Max",356,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",357,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",358,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",359,-13.55661,-9.617299,0.0357124491804931
"rd","Max",360,133.6687,135.684,0.0357124491804931
"releases","Mean",361,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",362,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",363,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",364,6.254692,5.208553,1.487922985421e-134
"insp","Mean",365,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",366,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",367,0,0,7.2738672869272e-311
"insp","Max",368,5,6,7.2738672869272e-311
"sales","Mean",369,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",370,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",371,215.09403,594.30968,1.59488133699139e-25
"sales","Max",372,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",373,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",374,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",375,-13.55661,-9.617299,0.0357124491804931
"rd","Max",376,133.6687,135.684,0.0357124491804931
"releases","Mean",377,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",378,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",379,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",380,6.254692,5.208553,1.487922985421e-134
"insp","Mean",381,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",382,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",383,0,0,7.2738672869272e-311
"insp","Max",384,5,6,7.2738672869272e-311
"sales","Mean",385,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",386,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",387,215.09403,594.30968,1.59488133699139e-25
"sales","Max",388,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",389,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",390,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",391,-13.55661,-9.617299,0.0357124491804931
"rd","Max",392,133.6687,135.684,0.0357124491804931
"releases","Mean",393,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",394,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",395,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",396,6.254692,5.208553,1.487922985421e-134
"insp","Mean",397,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",398,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",399,0,0,7.2738672869272e-311
"insp","Max",400,5,6,7.2738672869272e-311
"sales","Mean",401,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",402,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",403,215.09403,594.30968,1.59488133699139e-25
"sales","Max",404,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",405,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",406,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",407,-13.55661,-9.617299,0.0357124491804931
"rd","Max",408,133.6687,135.684,0.0357124491804931
"releases","Mean",409,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",410,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",411,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",412,6.254692,5.208553,1.487922985421e-134
"insp","Mean",413,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",414,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",415,0,0,7.2738672869272e-311
"insp","Max",416,5,6,7.2738672869272e-311
"sales","Mean",417,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",418,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",419,215.09403,594.30968,1.59488133699139e-25
"sales","Max",420,2527.0477,2589.7408,1.59488133699139e-25
"rd","Mean",421,65.381795851282,66.3314577655761,0.0357124491804931
"rd","SD",422,20.3197083967886,19.8709077621676,0.0357124491804931
"rd","Min",423,-13.55661,-9.617299,0.0357124491804931
"rd","Max",424,133.6687,135.684,0.0357124491804931
"releases","Mean",425,2.25699869390897,1.69255678486295,1.487922985421e-134
"releases","SD",426,1.06929871500157,0.933493346604401,1.487922985421e-134
"releases","Min",427,0.0059095,0.0033893,1.487922985421e-134
"releases","Max",428,6.254692,5.208553,1.487922985421e-134
"insp","Mean",429,1.07001114827202,1.99800853485064,7.2738672869272e-311
"insp","SD",430,0.975618985044452,1.0860771047424,7.2738672869272e-311
"insp","Min",431,0,0,7.2738672869272e-311
"insp","Max",432,5,6,7.2738672869272e-311
"sales","Mean",433,1507.02283777035,1577.38437890185,1.59488133699139e-25
"sales","SD",434,295.984860610568,299.621113687715,1.59488133699139e-25
"sales","Min",435,215.09403,594.30968,1.59488133699139e-25
"sales","Max",436,2527.0477,2589.7408,1.59488133699139e-25
