year,hhid,cropsystem,farmsize,fworkers,olandvalue,ownland,extvisits,educhead,educspouse,agehead,agespouse,hhavgeduc,lithead,malehead,literacy,hhsize,remmit,distance,comm,avghrsperwker,region1,region2,region3,region4,allagrtechs,seedtechs,seedfertechs,purchtechs,soilwatechs,stotoff_remit,slandvalue,sfarmrev,swageincome,snowageincome,totalland,propownland,fertilizer,urban,drought,_merge
0,1033000309,0,0.809716582,1,243.2448578,1.803643703,0,11,0,21,21,11,1,0,0,3,0.455807149,30,10330003,122.0299988,1,0,0,0,1,0,0,0,1,843.6990356,243.2448578,412.4324341,0,843.2432251,6.661943436,0.270738393,0,0,0,3
1,1033000309,1,0.404858291,1,707.8811035,0.133603245,0,0,0,25,23,0,1,0,1,5,0,11.19999981,10330003,219,1,0,0,0,0,0,0,0,0,98.63143158,707.8811035,589.9008789,0,98.63143158,1.145748973,0.116607778,0,0,1,3
0,1033000310,0,1.366396785,2,648.6500015,3.186234713,0,2,1,42,29,3.5,1,1,2,8,0,30,10330003,191.5350037,1,0,0,0,1,1,1,1,1,307.5675659,648.6500244,144.6846924,0,307.5675659,6.829959393,0.466508597,0,0,0,3
1,1033000310,0,0.647773266,2,943.8414307,0.943319798,0,0,0,46,34,5,0,1,4,10,0,0.25,10330003,188.3333282,1,0,0,0,0,0,0,0,0,0,943.8414307,575.7432861,0,0,0.943319798,1,0,0,1,3
0,1033000504,0,0.647773266,2,351.3524323,1.352226734,0,4,0,45,56,2,1,1,1,2,0,30,10330005,71,1,0,0,0,1,0,0,0,1,21.62162209,351.352417,8.486486435,21.62162209,0,1.352226734,1,0,0,1,3
1,1033000504,0,0.230769217,2,471.9207153,0.269230783,0,4,0,49,61,4,1,1,1,2,0,0.25,10330005,163.5,1,0,0,0,1,0,0,0,1,278.9051514,471.9207153,179.8018036,0,278.9051514,0.269230783,1,0,0,0,3
0,1033000505,1,0.67813766,4.5,162.1627045,2.20445323,0,14,0,45,45,7,1,0,0,5,0,30,10330005,37,1,0,0,0,1,0,0,0,1,270.2702637,162.1627045,5.118918896,0,270.2702637,2.20445323,1,0,0,0,3
1,1033000505,0,0.404858291,4.5,1179.801758,1.182186246,0,0,0,49,50,10.5,1,1,6,6,75.50731659,40,10330005,164.5,1,0,0,0,0,0,0,0,0,1090.136841,1179.801758,23.59603691,0,1014.629578,1.384615421,0.853801131,0,0,1,3
0,1033000506,1,0.508097172,1.571428537,2702.703125,1.372469544,0,3,1,71,23,8,1,1,1,5,0,30,10330005,60.5,1,0,0,0,1,0,0,0,1,0,2702.703125,6.126125813,0,0,6.230769157,0.220272899,0,0,0,3
1,1033000506,1,0.595141709,1.571428537,707.8811035,0.896761119,0,0,0,75,26,0,1,1,3,7,0,3.200000048,10330005,119.6666641,1,0,0,0,0,0,0,0,0,294.4785461,707.8811035,40.89979553,59.46200943,235.0165253,0.896761119,1,0,0,1,3
0,1033000507,1,1.244939327,5,810.8118896,0.64372474,0,2,1,43,43,2,1,1,3,8,0.005843682,30,10330005,73.33333588,1,0,0,0,1,0,0,0,1,729.7355957,810.8118896,6.756756783,0,729.7297363,2.299595356,0.279929578,0,0,1,3
1,1033000507,1,1.214574933,5,0,0,0,0,0,47,48,3.5,1,1,6,9,0,0.25,10330005,128.75,1,0,0,0,0,0,0,0,0,1557.338379,0,40.89979553,424.7286377,1132.609741,2.874493837,0,0,0,1,3
0,1033000509,0,1.214574933,2,486.4878349,2.417004108,0,0,1,58,38,1,0,1,2,7,0,30,10330005,73,1,0,0,0,0,0,0,0,0,0,486.4878235,0.810810804,0,0,2.417004108,0.99999994,0,0,0,3
1,1033000509,1,0.404858291,2,0,0,0,0,0,62,38,0,0,1,2,4,0,0.400000006,10330005,150,1,0,0,0,0,0,0,0,0,604.0585327,0,40.89979553,66.06890106,537.989624,0.461538464,0,0,0,1,3
0,1033000510,1,2.580971718,4.125,0,0,0,6,1,35,30,3.333333254,1,1,5,8,0,30,10330005,109,1,0,0,0,1,0,0,0,1,0,0,4.324324131,0,0,2.580971718,0,0,0,0,3
1,1033000510,0,0.854588389,4.125,491.0086975,0.854250968,0,6,1,39,35,5,1,1,1,11,0,1.600000024,10330005,208.3333282,1,0,0,0,1,1,1,1,0,103.8225555,491.0086975,2184.99292,0,103.8225555,1.906882644,0.447982997,0,0,1,3
0,1033000511,1,0.506072879,1.166666746,0,0,0,14,1,23,22,10,1,1,1,2,0,30,10330005,38.5,1,0,0,0,0,0,0,0,0,113.5135117,0,6.756756783,32.43243408,81.08107758,0.506072879,0,0,0,0,3
1,1033000511,1,2.277327776,1.166666746,0,0,0,0,1,27,20,11,1,1,1,4,0,7,10330005,223,1,0,0,0,1,0,0,1,0,2074.563477,0,1883.356934,103.8225555,1970.740967,2.277327776,0,0,0,1,3
0,1041000207,1,0.352226704,1.5,540.541626,0.846153915,0,2,0,93,93,2,1,0,3,4,0.222118348,18,10410002,281.375,1,0,0,0,1,0,1,1,1,411.1410522,540.541626,198.1981964,0,410.9189453,1.004048586,0.842742026,1,1,1,3
1,1041000207,1,0.414979756,1.5,471.9207153,0.475708485,0,10,0,97,98,6,1,0,2,5,0,7,10410002,129.6666718,1,0,0,0,1,0,0,0,1,188.76828,471.9207153,1127.890625,0,188.76828,0.475708485,1,0,1,1,3
0,1041000210,0,3.615384579,2.849999905,35135.13477,8.107287407,0,13,1,47,45,9,1,1,3,7,0,18,10410002,91.61999512,1,0,0,0,1,1,1,1,0,810.810791,35135.13281,396.3963928,0,810.810791,12.96558762,0.625292718,0,1,1,3
1,1041000210,1,0.789473712,2.849999905,12269.93848,2.026315689,0,0,1,51,47,5,1,1,8,9,873.0532837,1.5,10410002,226,1,0,0,0,1,1,1,1,1,3580.934326,12269.93848,2255.78125,0,2707.881104,2.026315689,1,0,1,1,3
0,1043000402,1,0.91093117,1.75,540.5408325,0.64372468,0,6,1,46,34,3,1,1,2,6,0.002921841,45,10430004,142.6300049,1,0,0,0,1,1,1,1,1,1140.543457,540.5408325,89.64865112,0,1140.540527,0.91093117,0.706666648,0,0,1,3
1,1043000402,0,2.125506163,1.75,4719.207031,0.742914975,0,4,0,50,35,4,1,1,2,7,117.9801788,4,10430004,73.33333588,1,0,0,0,1,0,0,0,1,2095.327881,4719.207031,1226.993896,0,1977.347778,2.125506163,0.349523783,0,0,0,3
0,1043000403,1,0.354251027,4,0,0,0,7,0,58,58,7,1,1,1,1,0.029218407,45,10430004,135.2700043,1,0,0,0,1,0,0,0,1,54.08327103,0,16.21621704,0,54.05405426,0.912955523,0,0,0,0,3
1,1043000403,0,1.619433165,4,7078.810547,2.226720572,0,0,0,62,27,7.5,1,1,10,10,651.2506104,0.5,10430004,104.3333359,1,0,0,0,1,1,1,1,1,1567.956543,7078.810547,1557.904663,29.49504471,887.2109375,2.226720572,1,1,0,0,3
0,1043000406,1,0.202429146,2,270.2705383,0.404858291,0,0,0,70,70,5.25,0,0,3,6,0.122717313,45,10430004,85.05000305,1,0,0,0,0,0,0,0,0,227.1497345,270.2705383,0.810810804,0,227.0270233,0.404858291,1,0,0,0,3
1,1043000406,1,0.242914975,2,0,0,0,0,0,74,89,0,0,0,2,3,146.2954254,1.600000024,10430004,49.5,1,0,0,0,0,0,0,0,0,304.388855,0,1226.993896,0,158.0934448,0.242914975,0,0,0,1,3
0,1043000407,1,0.190283388,2.933333397,540.5410767,1.226720691,0,14,0,32,27,7,1,1,0,4,0,45,10430004,51.57500076,1,0,0,0,1,1,1,1,1,762.1621094,540.5410767,9.729729652,0,762.1621094,1.226720691,1,0,0,0,3
1,1043000407,1,4.251012325,2.933333397,4011.326172,2.433198452,0,0,0,36,26,0,1,1,5,5,94.38414001,4.800000191,10430004,151,1,0,0,0,0,0,0,0,0,3386.50293,4011.326172,4337.895508,0,3292.118896,4.251012325,0.57238096,0,0,1,3
0,1043000408,1,0.151821852,0,0,0,0,6,1,26,20,8.333333015,1,1,2,4,0,45,10430004,39.50999832,1,0,0,0,1,0,0,0,1,4.324324131,0,47.02702713,4.324324131,0,0.202429146,0,0,0,0,3
1,1043000408,1,0.101214573,0,0,0,0,11,1,30,27,11,1,1,4,4,0,0.100000001,10430004,12.5,1,0,0,0,1,0,0,1,0,66.06890106,0,1226.993896,66.06890106,0,0.44534415,0,0,0,0,3
0,1043000409,1,1.214574933,3.300000191,243.2448578,0.182186246,0,6,1,35,25,5,0,1,1,10,0,45,10430004,208.0250092,1,0,0,0,0,0,0,0,0,702.7026978,243.2448578,476.7567444,0,702.7026978,1.690283418,0.107784435,0,0,0,3
1,1043000409,1,1.923076868,3.300000191,2359.603577,1.313765168,0,0,0,39,34,0,1,1,9,9,69.60830688,2.400000095,10430004,70,1,0,0,0,1,0,0,1,1,1303.917847,2359.603516,2316.246094,0,1234.30957,2.92510128,0.449134946,0,0,0,3
0,1043000410,1,2.07489872,5.625,3513.515686,6.995951653,2,14,0,39,39,3,1,0,8,11,2.045288563,45,10430004,156.5350037,1,0,0,0,1,0,0,0,1,3785.829102,3513.515625,77.83783722,0,3783.783691,10.82388687,0.646343768,0,0,1,3
1,1043000410,1,3.016194344,5.625,9438.414063,3.63562727,1,0,0,43,43,9,1,0,11,11,1274.185913,1.600000024,10430004,36,1,0,0,0,1,1,1,1,1,2883.435547,9438.414063,914.5036621,0,1609.249634,8.089068413,0.44944945,1,0,0,3
0,1043000602,1,0.809716582,1.833333254,0,0,0,10,1,29,24,11,1,1,4,7,0,39,10430006,533.2800293,1,0,0,0,1,0,1,1,1,529.7297363,0,67.08107758,416.216217,113.5135193,1.159919024,0,1,0,1,3
1,1043000602,1,0.657894731,1.833333254,2831.524414,0.121457495,0,0,0,33,30,0,0,1,2,7,516.7531738,3.200000048,10430006,258.5,1,0,0,0,1,1,1,1,1,1894.761597,2831.524414,1426.144409,16.51722527,1361.491211,4.170040607,0.029126214,1,0,0,3
0,1043000603,1,0.404858291,3.638888836,3783.784424,0.202429146,2,13,1,42,42,10.60000038,1,1,0,9,0,39,10430006,34.11499786,1,0,0,0,0,0,0,0,0,1118.918945,3783.784424,68.37837982,632.4324341,486.4864807,0.404858291,0.5,0,0,0,3
1,1043000603,1,1.417004108,3.638888836,707.8811035,0.334008098,1,0,1,46,48,13,1,1,9,9,181.6894836,4,10430006,37.47499847,1,0,0,0,1,0,1,1,1,6377.536133,707.8811035,1808.355225,339.7829285,5856.063965,2.763157845,0.120879121,1,0,1,3
0,1043000604,0,1.062753081,2,486.4873047,1.163967609,0,13,0,41,41,6.666666508,1,0,2,4,0,39,10430006,37.74000168,1,0,0,0,1,0,0,0,1,407.5675659,486.4873047,37.29729843,272.4324341,135.1351318,1.759109259,0.661680102,0,0,0,3
1,1043000604,1,0.607287467,2,2359.603516,0.157894731,0,0,0,45,41,10,1,0,3,3,70.78810883,0.5,10430006,162,1,0,0,0,1,0,0,0,1,1160.924927,2359.603516,9.438414574,70.7881012,1019.348755,0.607287467,0.25999999,0,0,1,3
0,1043000605,1,1.305667996,3.5,202.7035217,1.366396785,0,5,1,26,19,4.5,1,1,5,5,0,39,10430006,460.9300232,1,0,0,0,1,0,0,0,1,43.24324417,202.7035217,66.39639282,27.02702713,16.21621704,2.522267103,0.541733563,0,0,0,3
1,1043000605,1,0.404858291,3.5,1424.532959,0.392712563,2,0,1,30,28,3,1,1,3,7,16.98914528,5,10430006,255,1,0,0,0,1,0,0,0,1,373.7612,1424.532959,14.15762138,99.10334778,257.6687012,0.631578982,0.621794879,0,0,1,3
0,1043000607,1,0.344129562,3,216.2173004,0.825910926,0,0,0,51,51,1,1,0,5,5,0,39,10430006,380.2600098,1,0,0,0,1,0,0,0,1,67.56756592,216.2173004,67.29729462,0,67.56756592,1.663967609,0.496350348,0,0,1,3
1,1043000607,1,0.384615391,3,1651.722534,0.429149777,0,0,0,55,55,0,0,0,0,4,139.2166138,3.200000048,10430006,173.3333282,1,0,0,0,0,0,0,0,0,605.0023804,1651.722534,828.2208862,47.19207001,418.593689,0.73279351,0.585635364,0,0,1,3
0,1043000610,1,0.329959512,1.666666746,1567.568321,3.439271212,0,13,1,39,36,5,1,1,2,9,0,39,10430006,149.3050079,1,0,0,0,1,0,0,0,1,4670.270508,1567.568359,334.0540466,0,4670.270508,3.439271212,1,0,0,0,3
1,1043000610,1,0.506072879,1.666666746,5427.088135,2.429149866,2,7,1,43,40,8,1,1,5,10,0,0.5,10430006,125,1,0,0,0,1,0,0,0,1,1687.116577,5427.087891,1250.589844,224.1623535,1462.954224,2.429149866,1,0,0,1,3
0,1043000611,1,0.91093117,3.5,0,0,0,12,1,60,46,5.666666508,1,1,3,9,0.496712953,39,10430006,416.6833191,1,0,0,0,1,1,1,1,1,1308.604858,0,23.24324417,389.189209,918.9189453,4.777328014,0,1,0,0,3
1,1043000611,0,3.643724918,3.5,707.8811035,1.46558702,0,0,0,64,50,7,1,1,9,9,0,0.25,10430006,54.16666794,1,0,0,0,0,0,0,0,0,1344.973999,707.8811035,828.2208862,212.3643188,1132.609741,3.643724918,0.402222186,0,0,1,3
0,1043000804,1,0.728744924,3,405.4059448,0.809716582,0,7,1,38,31,6.5,1,1,2,9,0,9.600000381,10430008,155.0500031,1,0,0,0,1,0,0,0,1,48.64865112,405.4059448,25.40540504,48.64865112,0,0.809716582,1,0,0,0,3
1,1043000804,1,0.178137645,3,471.9207153,0.404858291,0,0,0,42,32,0,1,1,4,10,0,0.5,10430008,154.3333282,1,0,0,0,1,0,0,0,1,4719.207031,471.9207153,749.5674438,471.9207153,4247.286133,0.809716582,0.5,0,0,1,3
0,1043000805,1,0.040485829,2.666666508,0,0,0,5,1,26,27,5.5,1,1,2,4,0,9.600000381,10430008,67.51000214,1,0,0,0,0,0,0,0,0,10.81081009,0,35.40540695,10.81081009,0,0.040485829,0,0,0,1,3
1,1043000805,1,0.941295564,2.666666508,1887.682861,0.273279339,0,1,1,30,29,3.5,1,1,2,6,235.9603577,1.5,10430008,319,1,0,0,0,1,1,1,1,1,556.8664551,1887.682861,749.5674438,84.94572449,235.9603577,0.941295564,0.290322572,0,0,1,3
0,1043000806,1,1.062752962,1.071428537,5945.946838,4.459514141,0,10,1,59,41,4,1,1,0,11,0,9.600000381,10430008,92.16000366,1,0,0,0,1,0,0,0,1,790.8108521,5945.946777,147.9729767,196.2162323,594.5946045,4.459514141,1,0,0,0,3
1,1043000806,1,2.469635487,1.071428537,17932.98682,6.72672081,0,0,0,63,41,0,1,1,6,15,0,7,10430008,165.6666718,1,0,0,0,0,0,0,0,0,4530.438965,17932.98633,2831.524414,0,4530.438965,6.72672081,1,0,0,1,3
0,1043000807,1,0.657894731,2,405.4059448,0.755060732,0,5,1,28,25,9.5,1,1,1,4,0,9.600000381,10430008,78.27999878,1,0,0,0,1,0,0,1,0,0,405.4059448,8.243243217,0,0,0.755060732,1,0,0,0,3
1,1043000807,1,0.435222656,2,849.4572754,0.32186237,0,9,1,32,22,7.5,1,1,4,4,0,0.25,10430008,315.5,1,0,0,0,1,1,1,1,1,188.76828,849.4572754,1941.953857,0,188.76828,0.605263174,0.531772614,0,0,1,3
0,1043000808,1,1.497975707,3.666666746,1081.082153,1.214574933,0,10,1,47,32,8,1,1,0,11,0.029218407,9.600000381,10430008,334.5400085,1,0,0,0,1,1,1,1,1,1573.812988,1081.082153,342.1621704,871.0811157,702.7026978,2.834008217,0.428571433,0,0,1,3
1,1043000808,1,1.163967609,3.666666746,707.8811035,0.607287467,0,0,0,51,41,11,1,1,6,7,0,7,10430008,98.76190186,1,0,0,0,1,1,1,1,1,2539.877197,707.8811035,3173.194824,148.6550293,2391.222168,1.720647812,0.352941185,0,0,0,3
0,1043000809,1,0.937246978,1.5,810.8113403,1.012145758,0,7,1,48,30,6.5,1,1,2,6,0.140248343,9.600000381,10430008,88.60500336,1,0,0,0,1,1,1,1,0,648.7889404,810.8113403,45.40540695,0,648.6486816,1.012145758,1,0,0,0,3
1,1043000809,0,0.303643733,1.5,4719.207031,2.024291515,0,5,0,52,33,5,1,1,7,8,471.9207153,0.5,10430008,126.5,1,0,0,0,1,1,1,1,0,2708.824707,4719.207031,749.5674438,1510.14624,726.7578735,2.024291515,1,0,0,1,3
0,1043000810,1,1.82186234,4,2162.162598,2.692307711,0,9,1,61,58,9.5,1,1,4,11,1.22717309,9.600000381,10430008,133.0420074,1,0,0,0,1,0,0,0,1,2985.010986,2162.162598,110.8108139,0,2983.783691,2.692307711,1,0,0,1,3
1,1043000810,1,2.226720572,4,2670.067871,2.763157845,0,0,1,65,50,16.75,1,1,10,13,0,0.25,10430008,49.55555725,1,0,0,0,1,0,0,0,1,273.7140198,2670.067871,749.5674438,0,273.7140198,2.763157845,1,0,0,1,3
0,1043001101,1,0.961538434,5.791666985,864.8664856,2.317813635,0,2,1,46,45,4.666666508,1,1,2,7,0,42,10430011,187.9466705,1,0,0,0,1,0,0,0,1,0,864.8664551,196.216217,0,0,2.317813873,0.99999994,0,0,0,3
1,1043001101,1,0.404858291,5.791666985,5757.432602,2.342105389,0,0,0,50,50,0,1,0,4,10,75.50731659,2,10430011,217,1,0,0,0,1,0,0,0,1,151.0146332,5757.432617,510.6182251,0,75.50731659,2.457489967,0.953047752,0,0,1,3
0,1043001104,1,0.657894731,1.833333254,1351.354065,0.657894671,0,7,1,35,26,10,1,1,1,5,0,42,10430011,129.2749939,1,0,0,0,0,0,0,0,0,216.216217,1351.354004,55.13513565,0,216.216217,1.346153736,0.488721818,0,0,0,3
1,1043001104,1,1.072874546,1.833333254,1604.530441,1.674089074,0,6,1,39,19,6,1,1,2,6,0,30,10430011,324.5,1,0,0,0,1,0,0,0,1,335.0637207,1604.530396,2060.405762,0,335.0637207,2.483805656,0.674001634,0,0,1,3
0,1043001105,1,0.404858291,0.899999976,135.1354065,2.506072998,0,5,0,26,29,2.5,1,1,3,3,0,42,10430011,95.57500458,1,0,0,0,0,0,0,0,0,324.3243408,135.1354065,30.45044899,0,324.3243408,2.506072998,1,0,0,1,3
1,1043001105,1,0.708501995,0.899999976,2453.987656,0.85627532,0,0,0,30,20,0,0,1,0,4,0,0.800000012,10430011,148,1,0,0,0,1,0,0,0,1,617.7442017,2453.987549,563.0014648,37.75365829,579.9905396,0.85627532,1,0,0,1,3
0,1043001106,1,0.253036439,0.75,405.4059448,3.093117237,0,7,0,59,59,3.5,1,1,3,3,0,42,10430011,173.0599976,1,0,0,0,1,0,0,0,1,0,405.4059448,22.70270348,0,0,3.093117237,1,0,0,0,3
1,1043001106,1,1.619433284,0.75,0,0,0,6,0,63,60,6,1,1,1,1,0,1.600000024,10430011,530,1,0,0,0,0,0,0,0,0,28.31524277,0,707.8811035,0,28.31524277,4.858299732,0,0,0,1,3
0,1043001107,1,0.506072879,2,0,0,0,6,1,22,18,6.5,1,1,3,3,0,42,10430011,245.7949982,1,0,0,0,1,0,0,0,1,0,0,76.62162018,0,0,1.2186234,0,0,0,1,3
1,1043001107,1,0.491902828,2,3303.445068,1.263157845,0,0,0,26,24,0,1,1,5,5,0,1.600000024,10430011,262.5,1,0,0,0,1,1,1,1,0,448.324707,3303.445068,235.9603577,0,448.324707,1.263157845,1,0,0,1,3
0,1043001108,1,1.168016195,3.857142925,324.3264771,2.429149866,0,5,0,36,28,3.666666746,1,1,2,9,0,42,10430011,322.5549927,1,0,0,0,1,0,0,0,1,379.4594421,324.3264771,9.08108139,136.216217,243.2432404,2.908906937,0.835073054,0,0,0,3
1,1043001108,1,0.789473712,3.857142925,1651.722534,0.927125514,0,0,0,40,31,0,1,1,4,9,0,1.600000024,10430011,127.4821396,1,0,0,0,1,0,0,0,1,1986.786255,1651.722534,43.652668,0,1986.786255,1.736842036,0.533799529,0,0,0,3
0,1043001109,1,0.759109318,3.900000095,810.8118896,2.971659899,2,5,1,50,37,2.666666746,1,1,5,13,0.005843682,42,10430011,173.2799988,1,0,0,0,1,0,0,0,1,572.9788208,810.8118896,72.43243408,0,572.9729614,2.971659899,1,0,0,1,3
1,1043001109,1,1.315789461,3.900000095,24539.87695,6.870445251,0.333333343,0,0,54,41,0,1,0,5,13,33.03445053,2,10430011,202.25,1,0,0,0,1,0,0,0,1,553.9169312,24539.87695,2661.632813,84.35582733,436.5266724,6.870445251,1,0,0,1,3
0,1043001110,1,0.860323906,1.666666627,162.1632385,1.113360286,0,11,1,24,21,9,1,1,3,4,0,42,10430011,137.7050018,1,0,0,0,1,0,0,0,1,32.97297287,162.1632385,182.216217,0,32.97297287,1.983805656,0.561224461,0,0,0,3
1,1043001110,1,0.708502054,1.666666627,11821.61443,2.054656029,1,6,0,28,25,6,1,1,5,5,471.9207153,1.600000024,10430011,240.5,1,0,0,0,1,1,1,1,1,1651.722534,11821.61426,2266.104492,235.9603577,943.8414307,2.054656029,0.99999994,0,0,1,3
0,1043001302,1,0.275303632,1.666666627,0,0,0,7,1,35,43,5.400000095,1,0,4,7,0,78,10430013,214.2099915,1,0,0,0,1,0,0,0,1,235.1351318,0,5.405405521,170.2702637,64.86486816,0.275303632,0,0,0,0,3
1,1043001302,1,0.303643703,1.666666627,0,0,0,0,0,39,43,0,1,0,6,6,424.7286377,0.5,10430013,259.5,1,0,0,0,0,0,0,0,0,4497.404297,0,188.76828,283.1524048,3789.523193,0.303643703,0,0,0,1,3
0,1051000104,0,0.06477733,0.75,0,0,0,10,1,46,34,5.800000191,1,1,3,6,0.198685154,7,10510001,11.20200062,1,0,0,0,1,0,0,0,1,2540.739014,0,6.486486435,1200,1340.540405,0.093117408,0,0,1,1,3
1,1051000104,1,0.303643733,0.75,9438.414063,0.074898787,2,11,1,50,40,12,1,1,3,3,23.596035,0.25,10510001,23,1,0,0,0,1,1,1,1,1,1685.464844,9438.414063,1525.483643,159.2732391,1502.595581,0.378542513,0.197860971,0,1,0,3
0,1051000109,0,0.404858291,0.375,2162.162598,1.619433165,0,16,1,44,41,6.599999905,1,1,1,10,0,7,10510001,15.26500034,1,0,0,0,1,1,1,1,1,31424.32617,2162.162598,6.486486435,31416.21875,8.108108521,1.619433165,1,1,1,0,3
1,1051000109,1,0.506072879,0.375,2359.603516,1.012145758,2,0,0,48,46,16,1,1,9,9,943.8414307,1,10510001,21.66666603,1,0,0,0,1,0,0,0,1,8541.765625,2359.603516,852.2102051,1274.185913,6323.737793,1.82186234,0.555555582,0,1,0,3
