unihhid,period,cluster_code,children017,hhsize,foodexp,nfoodexp,healthexp,eduexp,hheduc,assign,cgp,remit_amount,cellphone,hungry_adults,hungry_kids
9601,Baseline,36,1,2,395.4167,95.33334,35,13,3,1,0,0,0,0,0
9701,Baseline,36,3,5,260.7143,163,0,14.66667,0,1,0,0,1,1,1
9901,Baseline,36,2,4,391.0714,112,0.5,11.66667,0,1,0,0,0,1,1
10101,Baseline,36,2,7,617.0238,438.6667,382.5833,259.6667,8,1,0,0,1,1,1
11001,Baseline,59,3,4,182.5,188.6667,7.5,0,0,0,0,15,1,1,1
11201,Baseline,58,4,6,321.5476,26.66667,20.91667,0,7,0,0,0,0,1,1
11301,Baseline,58,6,10,1231.151,43.33333,0,0,2,0,0,23,0,1,1
11501,Baseline,58,2,4,486.6667,19.66667,7.5,0,5,0,0,1.8,0,1,1
11701,Baseline,58,7,8,664.8214,54.66667,128.8333,0,8,0,0,0,0,1,1
11801,Baseline,58,6,11,1438.274,97.33333,259.4583,0,0,0,0,128,1,1,1
12001,Baseline,59,2,5,378.0357,22.33333,107.5,0,7,0,0,28,1,0,0
12201,Baseline,103,4,7,651.7857,115.3333,149.1667,48,7,1,0,12,1,1,1
12301,Baseline,103,4,6,725.6548,171.3333,95.33334,0,3,1,0,80,1,0,0
12601,Baseline,103,2,4,221.6071,267.6667,0,0,6,1,0,0,1,1,0
12701,Baseline,103,4,6,476.25,93.33334,17.5,6,0,1,0,0,1,0,0
12801,Baseline,103,2,6,126.0119,107.3333,20,0,4,1,0,0,0,0,0
13001,Baseline,103,2,5,577.9167,140.6667,181.6667,9.333333,4,1,0,9.5,1,1,1
13201,Baseline,103,5,10,693.0952,436.6667,28.33333,38,3,1,0,0,1,1,1
13301,Baseline,104,2,4,564.881,176,25.16667,100,0,1,0,2,0,1,1
13401,Baseline,103,1,5,847.3214,100,0,0,4,1,0,0,1,1,0
13601,Baseline,126,2,5,247.3929,28,68.33334,80,3,0,0,0,0,0,0
13801,Baseline,126,1,4,169.1456,132,0,66.66667,5,0,0,0,0,1,1
13901,Baseline,126,3,6,425.8333,87.33334,0,0,6,0,0,0,0,1,1
14201,Baseline,126,3,6,269.4048,99,71.66666,0,6,0,0,13,0,0,0
14301,Baseline,126,1,3,131.3503,48.33333,0,0,5,0,0,0,0,0,0
14401,Baseline,126,4,6,301.932,77,0,0,2,0,0,0,0,1,1
14501,Baseline,126,1,2,86.90476,63.66666,0,0,5,0,0,0,0,1,1
14601,Baseline,126,2,6,504.0476,11.33333,0,11.33333,1,0,0,0,0,1,1
14801,Baseline,126,2,5,329.4643,153.6667,5.75,12,7,0,0,0,1,1,1
15601,Baseline,126,3,5,373.6905,19.66667,1,62,3,0,0,0,0,1,1
15701,Baseline,126,4,6,893.0953,23.33333,197.9167,128.3333,7,0,0,0,0,1,1
15901,Baseline,126,1,4,204.2262,50.66666,1.666667,0,0,0,0,0,0,1,1
16009,Baseline,126,2,4,708.2738,4.666667,43,74.22727,6,0,0,0,0,1,1
16301,Baseline,126,3,4,247.6786,14.66667,0,0,6,0,0,0,0,1,1
17001,Baseline,126,4,9,1268.81,654.6667,499.1667,93.33333,3,0,0,8,1,1,0
17101,Baseline,104,2,4,321.5476,124,48.5,0,0,1,0,0,0,1,0
17401,Baseline,104,2,4,386.7262,223.3333,0,36.66667,10,1,0,0,1,0,0
17501,Baseline,104,1,3,225.9524,98,28.33333,0,3,1,0,0,0,1,0
17601,Baseline,104,1,3,56.48809,18.33333,0,0,0,1,0,0,0,1,1
18401,Baseline,103,1,2,473.631,31,0,0,5,1,0,0,0,1,1
18801,Baseline,103,2,4,1416.548,313,27.5,5,0,1,0,0,1,1,1
19201,Baseline,57,5,9,582.2619,191.3333,130.8333,0,4,1,0,0,1,1,1
19801,Baseline,48,7,14,638.7501,82.66666,7.083333,23.33333,7,0,0,7.5,0,1,1
19901,Baseline,48,5,7,1825,380,178.3333,33.33333,5,0,0,0,1,1,1
20001,Baseline,48,4,6,312.8571,57,85,100,10,0,0,40,1,1,1
20201,Baseline,48,3,6,434.5238,21,0,50,3,0,0,0,0,1,1
20401,Baseline,48,6,9,549.6726,124.6667,173.3333,186.6667,4,0,0,0,1,1,1
20601,Baseline,48,2,5,152.0833,3.833333,0,0,3,0,0,0,1,1,1
20701,Baseline,48,1,6,561.2024,46,0,0,0,0,0,0,0,1,1
20901,Baseline,48,1,7,491.0119,414,52.91667,65,5,0,0,0,1,0,0
21301,Baseline,48,1,4,491.0119,24.66667,0,52,6,0,0,8,1,0,0
21401,Baseline,48,3,7,795.1786,103.3333,0,122.3333,5,0,0,5,1,1,1
21701,Baseline,48,6,9,186.8452,58.66666,6.25,16.66667,0,0,0,0,0,1,1
21901,Baseline,48,2,4,286.7857,56.66667,0,0,2,0,0,0,0,1,1
22201,Baseline,48,3,5,217.2619,14.66667,0,38.33333,0,0,0,0,0,1,1
22701,Baseline,48,2,4,712.619,136.3333,0,3.333333,2,0,0,0,1,1,1
22901,Baseline,48,2,4,325.8929,81.66666,0,0,2,0,0,0,0,0,0
23001,Baseline,48,6,9,321.5477,30.66667,6.25,0,0,0,0,0,1,1,1
23309,Baseline,48,2,4,244.4196,8.333333,0,0,6,0,0,0,1,1,1
23501,Baseline,32,3,6,147.7381,100.3333,0,0,5,0,0,0,0,1,1
23601,Baseline,32,3,5,195.5357,274.3333,14.16667,80,0,0,0,0,0,1,1
24009,Baseline,32,2,4,551.8453,122.6667,0,0,0,0,0,5,0,0,0
24301,Baseline,33,1,4,430.1786,212.6667,0,0,5,0,0,0,0,1,1
24401,Baseline,32,4,5,295.4762,126.6667,9.166667,26.66667,1,0,0,0,0,1,1
24609,Baseline,32,2,4,347.6191,137,0,0,3,0,0,0,0,1,1
24901,Baseline,32,2,4,225.9524,24.33333,0,35,6,0,0,1,0,1,1
25001,Baseline,48,2,5,625.7143,281,20,0,6,0,0,5,1,1,0
25101,Baseline,33,6,7,647.4405,346.6667,74.66666,23.33333,7,0,0,0,0,1,0
25301,Baseline,32,4,6,690.8928,200.3333,20.5,20,5,0,0,0,0,1,1
25401,Baseline,33,5,7,134.7024,176.6667,5,0,1,0,0,0,0,1,1
25801,Baseline,32,4,6,304.1667,197,0.5833333,55,5,0,0,0,1,1,1
26001,Baseline,33,5,9,782.1429,11.66667,0,0,0,0,0,0,1,1,1
26201,Baseline,33,2,5,803.869,165.8333,36.66667,0,3,0,0,1.5,0,1,1
26301,Baseline,32,1,6,238.9881,175.3333,0,0,3,0,0,4,0,1,1
26501,Baseline,33,1,2,169.4643,128,2.083333,8.333333,0,0,0,0,0,1,1
26701,Baseline,32,4,6,391.0714,136.6667,0,0,0,0,0,0,0,1,1
27001,Baseline,33,2,4,378.0358,40.33333,0,13.33333,0,0,0,0,1,1,0
27201,Baseline,33,2,5,408.4524,166.6667,18.33333,0,2,0,0,17.5,1,0,0
27701,Baseline,104,3,5,230.2976,59.33334,5,0,0,1,0,2,0,1,1
27909,Baseline,100,5,10,464.9405,94.33333,7.5,0,0,0,0,0,0,0,0
28001,Baseline,100,1,5,260.7143,135,0.8333333,9.666667,5,0,0,0,0,1,0
28201,Baseline,100,3,5,530.1191,112.6667,2.5,0,0,0,0,0,0,1,1
28301,Baseline,100,2,4,224.2262,73,0,0,0,0,0,0,1,1,1
28401,Baseline,100,3,7,806.7858,298,77.50001,0,4,0,0,0,1,1,1
28601,Baseline,100,4,6,373.6905,128.3333,105,28.33333,10,0,0,0,1,1,1
28701,Baseline,100,2,4,584.4643,70.66667,0,0,10,0,0,0,0,1,1
28801,Baseline,100,3,5,586.6071,78.66666,4.666667,0,6,0,0,0,1,1,1
29101,Baseline,100,3,6,547.5,77,19.16667,0,3,0,0,3,1,0,0
29501,Baseline,104,2,4,147.7381,47.33334,29.58333,0,0,1,0,0,1,0,0
29801,Baseline,104,2,4,617.0239,130,0,24,6,1,0,0,1,1,0
29901,Baseline,57,2,10,543.1548,233.3333,17.25,49.33334,0,1,0,0,0,1,0
30101,Baseline,57,1,3,212.9167,10.66667,0,33.33333,3,1,0,0,0,1,0
30501,Baseline,54,1,5,391.0714,206.6667,5.833333,0,4,1,0,7,0,1,1
30901,Baseline,53,2,4,491.0119,24.66667,1.666667,0,5,1,0,4,1,1,1
31009,Baseline,54,1,4,86.90476,58.33333,30,3.333333,2,1,0,2,0,1,1
31101,Baseline,53,1,4,373.6905,109.3333,0,0,7,1,0,0,0,1,0
31301,Baseline,54,1,4,317.2024,136,0.1666667,4,2,1,0,0,0,1,1
31601,Baseline,53,3,6,363.2738,472.6667,5.833333,0,7,1,0,12,1,1,1
31801,Baseline,54,1,3,434.5238,235,7.916667,0,9,1,0,0,1,0,0
32001,Baseline,53,3,5,312.8571,299.3333,92.58334,3.333333,0,1,0,6,0,1,0
32101,Baseline,53,2,4,179.6032,143.3333,21.66667,18.55682,7,1,0,0,1,1,1
32209,Baseline,54,2,5,751.7262,484,3.333333,0,5,1,0,0,0,1,1
32501,Baseline,66,7,12,743.0357,733,62.5,41,0,1,0,168,1,0,0
32601,Baseline,66,4,8,716.9643,87.66666,0,0,3,1,0,0,1,1,1
33201,Baseline,66,4,6,411.369,373.3333,15.83333,37.11364,2,1,0,0,1,1,1
33301,Baseline,66,6,9,977.6786,363,119.5833,0,4,1,0,36,1,0,0
33501,Baseline,66,3,5,391.0714,75.33333,0.8333333,0,6,1,0,0,1,1,1
33601,Baseline,66,2,6,295.4762,131.6667,1.666667,0,7,1,0,15,0,1,1
33701,Baseline,66,5,13,630.0596,589.3334,171.25,0,7,1,0,80,1,0,0
34001,Baseline,66,1,4,638.75,198.3333,0,0,0,1,0,1,0,0,0
34101,Baseline,66,8,10,469.2857,70.33334,68.83334,36.66667,2,1,0,0,1,1,1
34201,Baseline,66,3,7,564.881,173.3333,12.5,0,2,1,0,0,0,1,1
34401,Baseline,66,3,9,373.6905,162,5.833333,16.66667,0,1,0,0,0,0,0
34501,Baseline,66,3,6,378.0357,110,3.5,0,6,1,0,0,0,1,0
34601,Baseline,66,3,7,710.4465,177.3333,0,0,4,1,0,7,0,0,0
34901,Baseline,66,2,4,82.55952,87.33334,4.166667,0,8,1,0,0,1,1,1
35401,Baseline,66,2,4,238.9881,206.3333,7.083333,0,0,1,0,0,0,1,1
35501,Baseline,66,3,7,330.2381,63.66666,3.916667,122.6667,4,1,0,0,1,1,1
35901,Baseline,66,4,7,712.619,586.3333,36.08333,0,6,1,0,2,1,1,1
36001,Baseline,66,2,4,395.4167,53.33333,0,0,3,1,0,0,0,1,1
36301,Baseline,66,3,8,617.0238,15.66667,41.83333,8,6,1,0,1,1,1,1
36601,Baseline,111,1,3,703.9286,69.66667,0,76.66666,6,0,0,0,0,1,1
37001,Baseline,110,2,4,530.1191,182.6667,6.5,0,1,0,0,0,0,1,1
37201,Baseline,110,6,10,695.2381,210.6667,6,0,0,0,0,0,0,1,0
37401,Baseline,110,3,8,612.6786,63,35.33333,129.8977,7,0,0,8,0,1,1
37501,Baseline,110,5,7,252.0238,50.33333,81.66666,0,0,0,0,0,0,1,0
37601,Baseline,111,1,2,238.9881,50,0,0,6,0,0,0,0,1,1
37701,Baseline,111,4,7,347.619,35.66667,48.83333,0,7,0,0,0,0,1,1
38101,Baseline,110,2,4,282.4405,26,11.66667,0,0,0,0,80,0,1,1
38201,Baseline,111,4,6,304.1667,81,7.916667,0,0,0,0,0,1,1,1
38501,Baseline,110,1,3,834.2858,104.6667,0,0,5,0,0,0,1,1,0
38601,Baseline,111,5,7,334.5833,74.33334,9.166667,0,3,0,0,0,1,1,1
39001,Baseline,111,1,3,504.0476,181,0,26,3,0,0,0,1,1,1
39401,Baseline,110,1,7,173.8095,13.33333,12.5,0,5,0,0,2,1,0,0
39809,Baseline,57,2,4,182.5,182,40,0,5,1,0,0,1,1,1
39901,Baseline,45,4,6,317.2024,19.33333,25,0,0,1,0,0,0,0,0
40101,Baseline,45,4,8,282.4405,6.666667,8.333333,0,0,1,0,0,0,0,0
40301,Baseline,45,2,4,186.8452,73.33334,0,0,0,1,0,0,0,1,0
40701,Baseline,45,1,2,86.90476,20.66667,0,0,7,1,0,0,1,1,1
41001,Baseline,45,4,7,382.381,104.3333,0,13.33333,5,1,0,5,1,1,1
41101,Baseline,45,3,8,1277.5,343,162.5,66.66666,4,1,0,6,1,0,0
41301,Baseline,45,4,7,530.1191,68.66666,25,0,1,1,0,0,0,0,0
41609,Baseline,45,4,8,169.4643,150.6667,0,0,1,1,0,0,0,1,1
41701,Baseline,45,0,1,60.83334,10,0,0,4,1,0,0,0,1,
42001,Baseline,57,3,7,564.881,81.66666,0,0,3,1,0,2,0,1,1
42801,Baseline,60,1,3,212.9167,76.66667,0,0,0,0,0,35,0,1,1
43001,Baseline,59,4,7,491.0119,54.66666,0,6.666667,3,0,0,4,0,1,1
43101,Baseline,59,2,4,399.7619,57.66666,7.5,0,7,0,0,36,0,0,0
43301,Baseline,59,3,5,308.5119,75.33333,39.16667,0,0,0,0,12,1,1,1
43401,Baseline,59,4,9,1077.619,77,11.5,23.33333,0,0,0,70,1,1,1
43601,Baseline,59,3,5,234.6429,136.3333,12.5,0,0,0,0,18,1,1,1
43801,Baseline,59,1,2,221.6071,33.33333,8.333333,33.5,3,0,0,0,0,1,0
44001,Baseline,61,2,8,186.8452,82.66666,0,150,4,0,0,0,1,1,1
44101,Baseline,60,5,10,347.6191,127.3333,6.166667,34.66667,6,0,0,5,1,1,1
44201,Baseline,60,2,7,534.4643,104.3333,47.16667,10,6,0,0,0,1,1,1
44501,Baseline,60,2,4,139.0476,87.66666,0,16.66667,6,0,0,0,1,1,1
44801,Baseline,61,2,5,696.131,227,59.16667,0,0,0,0,0,1,1,1
44901,Baseline,61,3,5,1038.512,42,0,56.66667,0,0,0,0,0,1,1
45101,Baseline,60,6,8,408.4524,51,153.3333,13.33333,2,0,0,0,0,1,1
45501,Baseline,59,4,9,412.7976,161.6667,0,6.666667,7,0,0,0,0,1,1
45801,Baseline,59,4,6,512.7382,132.3333,17.83333,0,0,0,0,27,1,1,1
45901,Baseline,233,4,6,259.3452,43.33334,0,0,0,0,0,0,0,1,1
46001,Baseline,233,3,8,1057.202,222,26.66667,20,3,0,0,10,1,1,1
46101,Baseline,233,2,5,638.75,64.66666,0,1,3,0,0,0,0,1,1
46201,Baseline,233,2,6,664.8214,93.33334,0,5,0,0,0,19,1,1,1
46801,Baseline,233,1,5,208.5714,12.33333,6.666667,0,0,0,0,15,0,1,1
47001,Baseline,233,3,8,534.4643,227,298.3333,0,3,0,0,0,1,0,0
47301,Baseline,233,3,7,414.1071,158.6667,107.5,0,0,0,0,0,1,1,1
47501,Baseline,233,1,2,256.369,24.33333,0,0,0,0,0,0,0,1,1
47801,Baseline,233,2,3,212.9167,107.6667,2.5,0,8,0,0,0,1,1,1
48001,Baseline,233,2,8,534.4643,157,17.91667,0,4,0,0,0,1,1,1
48201,Baseline,233,5,7,859.3214,74.66666,1.916667,0,0,0,0,0,1,1,1
48301,Baseline,233,5,7,617.0239,50.33333,23.33333,0,6,0,0,5,1,1,1
48501,Baseline,233,2,8,525.7738,83.66666,6.666667,0,8,0,0,24,1,1,1
48601,Baseline,233,2,4,199.881,46,77.5,5,3,0,0,0,1,1,1
48901,Baseline,233,3,7,421.4881,163,15.83333,15,2,0,0,12,1,0,0
49009,Baseline,233,3,4,425.8334,631.3333,32.91666,13.33333,6,0,0,0,0,1,1
49901,Baseline,123,2,4,282.4405,56,0,0,5,0,0,0,0,1,1
50001,Baseline,123,4,7,338.9286,91,2.083333,15,0,0,0,0,1,1,1
50101,Baseline,123,3,7,916.8453,103.3333,2.083333,0,0,0,0,0,0,1,0
50401,Baseline,123,5,6,317.2024,173.3333,6.666667,0,8,0,0,0,1,1,1
50501,Baseline,123,1,4,522.0804,53,2.083333,6.666667,3,0,0,0,0,1,0
50601,Baseline,121,4,6,269.4048,138.3333,0,0,1,0,0,0,0,1,1
50701,Baseline,123,4,6,668.4524,80.66666,0,0,0,0,0,0,0,1,1
50801,Baseline,123,2,8,152.0833,91,0,0,6,0,0,3,0,1,1
51009,Baseline,121,2,5,217.2619,202.3333,0,0,6,0,0,0,0,1,1
51309,Baseline,123,2,3,399.7619,112,0,0,6,0,0,0,1,1,1
51401,Baseline,123,4,7,564.881,108,0,0,0,0,0,0,0,1,1
51501,Baseline,123,4,8,491.0119,163.6667,0,0,0,0,0,0,1,0,0
51801,Baseline,100,2,3,139.0476,71.33333,0,0,7,0,0,0,1,0,0
52501,Baseline,100,3,7,69.52381,75.33334,22.08333,0,6,0,0,0,0,1,0
53001,Baseline,100,7,11,425.8333,372,10.41667,0,3,0,0,2,0,1,1
53101,Baseline,100,4,5,286.7857,49,0,0,6,0,0,0,1,1,1
53201,Baseline,100,2,4,365,25.66667,0,0,5,0,0,0,0,1,1
53401,Baseline,100,2,4,273.75,100.6667,28.66667,0,7,0,0,6,1,1,1
54401,Baseline,121,3,5,139.0476,118.3333,0,0,5,0,0,0,0,1,1
54501,Baseline,121,1,6,324.881,29,0,0,1,0,0,0,0,1,1
54601,Baseline,121,2,4,244.3214,32.33334,7.5,0,5,0,0,0,0,1,1
54701,Baseline,121,3,5,156.4286,37,0,0,1,0,0,0,1,1,0
55001,Baseline,121,3,5,247.6786,119.3333,6.666667,6.666667,6,0,0,0,1,1,1
55101,Baseline,121,4,6,395.4167,97.33333,12.5,0,4,0,0,0,0,1,1
55701,Baseline,121,1,4,302.7857,75.6,0,0,0,0,0,0,1,0,0
55809,Baseline,121,1,3,378.0357,154.6667,0,0,6,0,0,0,0,1,0
55901,Baseline,121,1,3,373.9881,127.3333,0,0,7,0,0,0,1,1,0
56101,Baseline,37,3,8,143.3929,492,0,182.6667,0,0,0,0,0,1,1
56601,Baseline,37,1,5,464.9405,88.66666,20,39.33333,0,0,0,0,1,1,1
56701,Baseline,37,1,2,404.1071,174,11.66667,66.66666,0,0,0,0,1,1,1
57001,Baseline,37,3,5,308.5119,170.6667,49.16667,0,3,0,0,0,1,1,1
57101,Baseline,37,3,6,221.6071,308.6667,50.66667,0,4,0,0,0,0,1,1
57209,Baseline,37,2,4,369.3452,128.6667,0,26.66667,5,0,0,0,1,1,1
57301,Baseline,37,4,6,425.8333,88.66666,6.25,0,0,0,0,0,0,1,1
57509,Baseline,37,4,8,908.1548,280.6667,78.125,70,4,0,0,0,1,0,0
57601,Baseline,37,6,12,1368.75,433,12.5,20,2,0,0,0,0,1,1
57701,Baseline,37,3,6,551.8452,179.6667,28.75,35,1,0,0,24,0,1,0
58101,Baseline,38,4,7,412.7976,234,126.6667,0,0,0,0,12,0,1,1
58201,Baseline,38,4,10,738.6905,332.3333,0.3333333,100,0,0,0,0,0,0,0
58601,Baseline,38,4,7,365,159.6667,37.5,23.33333,0,0,0,0,0,1,1
58801,Baseline,38,3,8,477.9762,253.6667,101.0417,53,0,0,0,1,1,1,1
59101,Baseline,38,1,4,171.6369,111.6667,0,20,0,0,0,10.2,0,1,0
59201,Baseline,38,1,5,121.6667,57,0,0,2,0,0,0,0,1,1
59301,Baseline,38,4,6,234.6429,199.3333,3.333333,0,6,0,0,10,1,1,1
59509,Baseline,38,1,3,399.7619,249.6667,0,50,0,0,0,18,1,1,0
59601,Baseline,38,1,3,829.9405,183.3333,0,16.66667,2,0,0,0,0,0,0
59801,Baseline,38,1,2,169.4643,104.3333,12.83333,43.33333,6,0,0,0,0,1,1
60101,Baseline,231,5,8,1008.095,590,0,66.66666,0,1,0,0,1,1,1
60301,Baseline,231,3,5,325.8929,307.3333,0,10,2,1,0,0,0,1,1
60401,Baseline,231,2,5,638.75,605.0001,8.333333,2.666667,6,1,0,10,1,1,1
61101,Baseline,231,3,6,618.6533,349,119.5833,40,10,1,0,9,0,1,1
61201,Baseline,231,5,10,329.5238,152.3333,0,0,0,1,0,6,1,1,1
61401,Baseline,231,4,6,421.4881,207.3333,170.0417,0,8,1,0,0,1,1,1
61501,Baseline,231,8,14,145.8758,66,0,10,7,1,0,99.99,1,1,1
61601,Baseline,102,3,6,443.2143,126.6667,0.8333333,43.33333,4,1,0,0,1,1,1
61701,Baseline,231,3,6,477.9762,141.6667,0,50,0,1,0,10,1,1,1
62001,Baseline,231,2,3,232.4702,42,20.83333,0,7,1,0,0,1,1,1
62701,Baseline,231,4,9,126.0119,77.66666,0,20,3,1,0,0,0,1,1
63401,Baseline,231,4,7,475.8333,412.6667,91.66666,110.6667,9,1,0,0,1,1,1
63701,Baseline,245,2,3,486.6667,195,13.33333,6.333333,3,0,0,0,0,0,0
64101,Baseline,245,2,4,369.3452,180,0,0,7,0,0,0,1,1,1
64601,Baseline,245,4,12,808.2144,299.6667,288.0833,5,0,0,0,1.5,1,1,0
64801,Baseline,118,1,3,,,,,7,1,0,0,0,1,0
65101,Baseline,247,2,5,651.7858,188.3333,0,0,0,1,0,0,0,1,1
65301,Baseline,247,3,4,265.0595,58.33334,0,6.666667,5,1,0,0,1,1,1
65401,Baseline,247,5,7,347.619,129.6667,5.833333,0,0,1,0,0,0,1,1
65501,Baseline,247,4,7,265.0595,374,0,0,0,1,0,0,0,1,1
65701,Baseline,247,3,7,590.9524,27,0,0,0,1,0,0,0,1,0
65801,Baseline,247,5,12,1012.44,256.6667,0,0,0,1,0,6,0,1,0
66301,Baseline,247,3,5,286.7857,173,0,6.666667,0,1,0,0,0,1,1
66701,Baseline,250,4,6,460.5952,365,0,0,2,0,0,0,0,1,1
67101,Baseline,250,1,4,477.9762,163.3333,0,0,3,0,0,0,0,1,1
67201,Baseline,250,6,8,576.4881,158.3333,37.5,0,0,0,0,0,0,1,1
67801,Baseline,250,3,9,1064.583,171.3333,0,26.66667,5,0,0,17,0,1,1
68001,Baseline,250,2,5,621.369,188.3333,37.5,6.666667,4,0,0,0,0,1,1
68301,Baseline,250,1,3,686.5477,155,0,13.33333,0,0,0,0,1,1,1
68401,Baseline,250,6,8,330.2381,55,0,0,0,0,0,0,0,1,1
68601,Baseline,250,3,8,764.7619,139.3333,50,163.3333,3,0,0,0,0,1,1
68701,Baseline,250,4,5,871.3691,135.3333,61.66667,50,4,0,0,0,0,1,1
68801,Baseline,250,4,6,347.619,113.3333,0,0,0,0,0,0,0,1,1
69601,Baseline,250,3,5,547.5,425,0,20,2,0,0,0,0,1,1
69701,Baseline,250,5,9,1516.488,365,50,173.3333,0,0,0,10,1,1,1
69801,Baseline,250,1,3,412.7976,993.6666,9.166667,100,0,0,0,0,1,1,0
70601,Baseline,120,1,3,91.25,32,0,0,1,1,0,0,0,1,1
70701,Baseline,118,3,5,430.1786,33.33334,15.66667,0,5,1,0,0,0,1,1
70901,Baseline,120,5,7,521.4286,56.33333,5,0,7,1,0,0,0,1,1
71101,Baseline,120,4,5,278.0952,39,0,0,7,1,0,0,0,1,1
71201,Baseline,118,1,4,437.1429,164,0,0,7,1,0,50,1,1,1
71301,Baseline,118,3,4,447.5595,40.33334,22.5,0,1,1,0,0,0,1,1
72101,Baseline,118,1,3,351.9643,36.33333,0,0,3,1,0,0,0,1,1
72201,Baseline,120,3,6,269.4048,35.66666,12.5,0,4,1,0,0,0,1,1
72309,Baseline,102,1,2,117.3214,21.66667,25,0,0,1,0,0,0,1,1
72701,Baseline,120,1,5,147.7381,30,0,0,0,1,0,0,0,1,1
73101,Baseline,120,3,8,382.381,48.66666,0,33.33333,0,1,0,0,0,1,1
73201,Baseline,118,1,5,256.369,42.66666,15.83333,0,7,1,0,0,1,1,1
73401,Baseline,120,2,3,252.0238,39.66667,0,0,5,1,0,0,0,1,1
73501,Baseline,118,2,4,582.2619,132,85,0,10,1,0,0,1,0,0
73601,Baseline,110,3,6,499.7024,217.3333,44.08333,20,7,0,0,0,0,1,1
73701,Baseline,111,2,4,504.0476,182.6667,9.333333,19.66667,7,0,0,0,1,0,0
73801,Baseline,111,3,5,764.7619,133,0.3333333,121.6667,7,0,0,0,1,1,1
73901,Baseline,111,2,3,391.0714,60,0.1666667,14,4,0,0,0,1,1,0
74109,Baseline,111,2,7,517.0833,197.6667,3.333333,0,0,0,0,3.5,0,1,0
